URL,类型,父级URL,状态,匹配指纹数,软件名称,置信度,开放端口,扫描时间
https://www.drupal.org,主域名,,成功,1,列目录,76%,,2026-04-28 14:11:15
https://www.dedecms.com,主域名,,成功,3,Nginx,85%,,2026-04-28 14:11:18
https://www.dedecms.com,主域名,,成功,3,PHP,80%,,2026-04-28 14:11:18
https://www.dedecms.com,主域名,,成功,3,列目录,76%,,2026-04-28 14:11:18
https://www.discuz.net,主域名,,失败,0,,,,2026-04-28 14:11:20
http://www.dvwa.co.uk,主域名,,失败,0,,,,2026-04-28 14:11:23
https://nginx.org,主域名,,成功,1,Nginx,85%,,2026-04-28 14:11:44
https://httpd.apache.org,主域名,,成功,2,Apache,85%,,2026-04-28 14:11:44
https://httpd.apache.org,主域名,,成功,2,列目录,76%,,2026-04-28 14:11:44
https://typo3.org,主域名,,成功,2,Apache,85%,,2026-04-28 14:11:46
https://typo3.org,主域名,,成功,2,列目录,76%,,2026-04-28 14:11:46
https://www.bilibili.com,主域名,,成功,1,列目录,76%,,2026-04-28 14:11:48
https://www.zblogcn.com,主域名,,成功,4,OpenResty,85%,,2026-04-28 14:11:50
https://www.zblogcn.com,主域名,,成功,4,Nginx,80%,,2026-04-28 14:11:50
https://www.zblogcn.com,主域名,,成功,4,PHP,80%,,2026-04-28 14:11:50
https://www.zblogcn.com,主域名,,成功,4,列目录,76%,,2026-04-28 14:11:50
https://www.lighttpd.net,主域名,,成功,1,列目录,76%,,2026-04-28 14:11:51
https://www.eclipse.org/jetty,主域名,,成功,1,列目录,76%,,2026-04-28 14:11:52
https://tomcat.apache.org,主域名,,成功,2,Apache Tomcat,95%,,2026-04-28 14:11:56
https://tomcat.apache.org,主域名,,成功,2,Apache,85%,,2026-04-28 14:11:56
https://expressjs.com,主域名,,成功,2,Cloudflare,85%,,2026-04-28 14:11:58
https://expressjs.com,主域名,,成功,2,列目录,76%,,2026-04-28 14:11:58
https://www.iis.net,主域名,,成功,2,PHP,80%,,2026-04-28 14:12:00
https://www.iis.net,主域名,,成功,2,列目录,76%,,2026-04-28 14:12:00
https://www.joomla.org,主域名,,成功,3,Joomla,95%,,2026-04-28 14:12:03
https://www.joomla.org,主域名,,成功,3,Cloudflare,85%,,2026-04-28 14:12:03
https://www.joomla.org,主域名,,成功,3,列目录,76%,,2026-04-28 14:12:03
https://magento.com,主域名,,失败,0,,,,2026-04-28 14:12:05
https://caddyserver.com,主域名,,成功,3,Nginx,80%,,2026-04-28 14:12:12
https://caddyserver.com,主域名,,成功,3,PHP,80%,,2026-04-28 14:12:12
https://caddyserver.com,主域名,,成功,3,列目录,76%,,2026-04-28 14:12:12
https://juice-shop.herokuapp.com,主域名,,失败,0,,,,2026-04-28 14:12:23
https://wordpress.org,主域名,,成功,3,Nginx,85%,,2026-04-28 14:12:25
https://wordpress.org,主域名,,成功,3,WordPress,80%,,2026-04-28 14:12:25
https://wordpress.org,主域名,,成功,3,列目录,76%,,2026-04-28 14:12:25
https://ghost.org,主域名,,成功,1,列目录,76%,,2026-04-28 14:12:26
https://www.prestashop.com,主域名,,成功,2,Cloudflare,85%,,2026-04-28 14:12:26
https://www.prestashop.com,主域名,,成功,2,列目录,76%,,2026-04-28 14:12:26
